Product Name,Product Score,Cancer Concern,Allergies & Immunotoxicity,Developmental and Reproductive Toxicity,Use Restrictions,Other Concerns
LAURAMIDOPROPYL BETAINE,1,LOW,MODERATE,LOW,HIGH,Use restrictions (high)
CALCIUM SILICATE,1,LOW,LOW,LOW,LOW,
ETHYLHEXYL OLIVATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
SHEA BUTTER ETHYL ESTERS,1,LOW,LOW,LOW,LOW,
PEG-12,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
DIPROPYLENE GLYCOL DIBENZOATE,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
SIMMONDSIA CHINENSIS (JOJOBA) SEED EXTRACT,1,LOW,LOW,LOW,LOW,
SODIUM ACETYLATED HYALURONATE,1,LOW,LOW,LOW,LOW,
PERLITE,1,LOW,LOW,LOW,LOW,
CI 15850 (D&C Red No. 6 or 7) Barium Lake,1,LOW,LOW,LOW,HIGH,"Use restrictions (high), Non-reproductive organ system toxicity (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
SODIUM METHYL 2-SULFOLAURATE,1,LOW,LOW,LOW,LOW,
PAPAIN,1,LOW,MODERATE,LOW,LOW,"Irritation (skin, eyes, or lungs) (high)"
TRIDECANE,1,LOW,LOW,LOW,LOW,
KERATIN AMINO ACIDS,1,LOW,LOW,LOW,LOW,
PPG-2 HYDROXYETHYL COCAMIDE,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
RIBES NIGRUM (BLACKCURRANT) SEED OIL,1,LOW,LOW,LOW,LOW,
SODIUM LAURYLGLUCOSIDES HYDROXYPROPYLSULFONATE,1,LOW,LOW,LOW,LOW,
ORIGANUM MAJORANA (SWEET MARJORAM) LEAF EXTRACT,1,LOW,LOW,LOW,LOW,"Irritation (skin, eyes, or lungs) (low)"
VANILLA PLANIFOLIA (VANILLA) FRUIT OIL,1,LOW,LOW,LOW,LOW,Use restrictions (low)
ACRYLAMIDE/ SODIUM ACRYLOYLDIMETHYLTAURATE COPOLYMER,1,LOW,LOW,LOW,MODERATE,Use restrictions (moderate) and Non-reproductive organ system toxicity (low)
CANNABIS SATIVA (HEMP) EXTRACT,2,LOW,LOW,LOW,HIGH,"Use restrictions (high), Neurotoxicity (low), Endocrine disruption (low), Non-reproductive organ system toxicity (low), and Irritation (skin, eyes, or lungs) (low)"
HYDROGENATED STARCH HYDROLYSATE,1,LOW,LOW,LOW,LOW,
UNDECANE,1,LOW,LOW,LOW,LOW,
SALIX NIGRA (BLACK WILLOW) BARK EXTRACT,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
TRIETHYLENE GLYCOL,1,LOW,LOW,LOW,HIGH,Use restrictions (high) and Non-reproductive organ system toxicity (moderate)
SODIUM ACRYLATES COPOLYMER,1,LOW,LOW,LOW,LOW,Use restrictions (low) and Contamination concerns (high)
PALM ACID,1,LOW,LOW,LOW,LOW,
PSIDIUM GUAJAVA (GUAVA) FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,
EUCALYPTUS GLOBULUS (TASMANIAN BLUE GUM) LEAF EXTRACT,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
ROSE HIPS SEED OIL,1,LOW,LOW,LOW,LOW,
HYDROLYZED CORN STARCH,1,LOW,LOW,LOW,LOW,
LYCIUM CHINENSE FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,
OLETH-20,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
CURCUMA LONGA (TURMERIC) ROOT POWDER,1,LOW,LOW,LOW,LOW,"Non-reproductive organ system toxicity (low) and Irritation (skin, eyes, or lungs) (low)"
DISODIUM 2-SULFOLAURATE,1,LOW,LOW,LOW,LOW,
PISUM SATIVUM (PEA) EXTRACT,1,LOW,LOW,LOW,LOW,
MARANTA ARUNDINACEA ROOT EXTRACT,1,LOW,LOW,LOW,LOW,
TRIMETHYL PENTANYL DIISOBUTYRATE,2,LOW,LOW,LOW,LOW,"Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), and Ecotoxicology (low)"
HYDROLYZED PEA PROTEIN,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low)"
BRASSICA CAMPESTRIS (RAPESEED) SEED OIL,1,LOW,LOW,LOW,LOW,
NEOPENTYL GLYCOL DICAPRYLATE/ DICAPRATE,1,LOW,LOW,LOW,LOW,
POLYGONUM CUSPIDATUM (JAPANESE KNOTWEED) ROOT EXTRACT,1,LOW,LOW,LOW,LOW,
CI 15850 (D&C Red No. 6 or 7) Calcium Lake,1,LOW,LOW,LOW,HIGH,"Use restrictions (high), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
MENTHA PIPERITA (PEPPERMINT) LEAF,4,LOW,HIGH,LOW,LOW,Enhanced skin absorption and Use restrictions (low)
OPUNTIA FICUS-INDICA STEM EXTRACT,1,LOW,LOW,LOW,LOW,
"2-OLEAMIDO-1,3-OCTADECANEDIOL",1,LOW,LOW,LOW,LOW,
METHYL DIHYDROABIETATE,1,LOW,LOW,LOW,LOW,
HELIANTHUS ANNUUS (SUNFLOWER),1,LOW,MODERATE,LOW,LOW,
PEG-200 HYDROGENATED GLYCERYL PALMATE,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
PUNICA GRANATUM (POMEGRANATE),1,LOW,LOW,LOW,LOW,
CHRYSIN,1,LOW,LOW,LOW,LOW,
AESCULUS HIPPOCASTANUM (HORSE CHESTNUT) SEED EXTRACT,1,LOW,LOW,LOW,LOW,
TRIFOLIUM PRATENSE (RED CLOVER) EXTRACT,1,LOW,LOW,LOW,LOW,
SACCHAROMYCES/ COPPER FERMENT,1,LOW,LOW,LOW,LOW,Persistence and bioaccumulation (moderate) and Non-reproductive organ system toxicity (low)
ISOCETETH-10,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
N-HYDROXYSUCCINIMIDE,1,LOW,LOW,LOW,LOW,
PYRIDOXINE HCL,1,LOW,LOW,LOW,LOW,
EUTERPE OLERACEA FRUIT OIL,1,LOW,LOW,LOW,LOW,
ALPHA GLUCAN OLIGOSACCHARIDE,1,LOW,LOW,LOW,LOW,
GARCINIA INDICA SEED BUTTER,1,LOW,LOW,LOW,LOW,
CINNAMIDOPROPYLTRIMONIUM CHLORIDE,4,LOW,HIGH,LOW,LOW,"Neurotoxicity (low), Endocrine disruption (low), and Non-reproductive organ system toxicity (moderate)"
ZINC CHLORIDE,2,LOW,LOW,LOW,HIGH,"Use restrictions (high), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), Ecotoxicology (low), and Occupational hazards (high)"
HYDROGENATED COTTONSEED OIL,1,LOW,LOW,LOW,LOW,Use restrictions (low) and Contamination concerns (high)
DIGLYCERIN,1,LOW,LOW,LOW,LOW,
ROSIN,5,LOW,MODERATE,LOW,HIGH,"Use restrictions (high), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), and Ecotoxicology (low)"
CALCIUM PANTOTHENATE,1,LOW,LOW,LOW,LOW,
BAKUCHIOL,1,LOW,LOW,LOW,LOW,"Endocrine disruption (low), Non-reproductive organ system toxicity (low), and Ecotoxicology (low)"
DIMETHICONE/ BIS ISOBUTYL PPG-20 CROSSPOLYMER,1,LOW,LOW,LOW,LOW,
CYMBOPOGON CITRATUS (LEMONGRASS) LEAF OIL,1,LOW,LOW,LOW,LOW,
FUMARIC ACID,1,LOW,LOW,LOW,LOW,"Irritation (skin, eyes, or lungs) (high)"
SODIUM BENZOTRIAZOLYL BUTYLPHENOL SULFONATE,1,LOW,LOW,LOW,LOW,"Non-reproductive organ system toxicity (moderate) and Irritation (skin, eyes, or lungs) (high)"
COCAMIDOPROPYL PG-DIMONIUM CHLORIDE PHOSPHATE,4,LOW,HIGH,LOW,LOW,"Neurotoxicity (low), Endocrine disruption (low), and Non-reproductive organ system toxicity (moderate)"
PHENYLPROPYLDIMETHYLSILOXYSILICATE,1,LOW,LOW,LOW,LOW,
ROSMARINUS OFFICINALIS (ROSEMARY) OIL EXTRACT,1,LOW,LOW,LOW,LOW,
AMMONIUM ACRYLATES COPOLYMER,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
P-PHENYLENEDIAMINE,0,MODERATE,HIGH,LOW,HIGH,"Use restrictions (high), Non-reproductive organ system toxicity (high), Ecotoxicology (low), Irritation (skin, eyes, or lungs) (high), and Occupational hazards (high)"
UNSPECIFIED EXTRACTS,4,LOW,LOW,LOW,LOW,
AVENA SATIVA (OAT) KERNEL OIL,1,LOW,LOW,LOW,LOW,Use restrictions (low)
WHEAT AMINO ACIDS,1,LOW,LOW,LOW,LOW,
COPPER GLUCONATE,2,LOW,LOW,LOW,LOW,"Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), and Ecotoxicology (low)"
RHUS SUCCEDANEA (JAPANESE) FRUIT WAX,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low)"
ISOEICOSANE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
POLYURETHANE-35,1,LOW,LOW,LOW,LOW,
P-AMINOPHENOL,6,LOW,MODERATE,LOW,MODERATE,"Use restrictions (moderate), Non-reproductive organ system toxicity (moderate), Ecotoxicology (low), and Occupational hazards (high)"
LAURYL PEG/ PPG-18/ 18 METHICONE,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
GERANIUM MACULATUM (SPOTTED CRANESBILL) EXTRACT,1,LOW,LOW,LOW,LOW,
HYDROGENATED OLIVE OIL UNSAPONIFIABLES,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low)"
SODIUM LAURETH-12 SULFATE,1,LOW,LOW,LOW,LOW,"Non-reproductive organ system toxicity (moderate), Irritation (skin, eyes, or lungs) (moderate), and Contamination concerns (high)"
TREMELLA FUCIFORMIS (MUSHROOM) EXTRACT,1,LOW,LOW,LOW,LOW,
OCIMUM BASILICUM (SWEET BASIL) EXTRACT,6,MODERATE,HIGH,LOW,LOW,"Non-reproductive organ system toxicity (moderate), Multiple, additive exposure sources (low), and Ecotoxicology (low)"
OCIMUM BASILICUM (SWEET BASIL) OIL,5,MODERATE,HIGH,LOW,LOW,Non-reproductive organ system toxicity (moderate) and Ecotoxicology (low)
DIMETHYL ETHER,2,LOW,LOW,LOW,LOW,Persistence and bioaccumulation (moderate) and Non-reproductive organ system toxicity (moderate)
MAGNESIUM ASPARTATE,1,LOW,LOW,LOW,LOW,
SILK POWDER,1,LOW,LOW,LOW,LOW,
SODIUM LAURATE,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low)"
DISODIUM LAURYL SULFOSUCCINATE,1,LOW,LOW,LOW,LOW,
ROSA CENTIFOLIA (CABBAGE ROSE) FLOWER WATER,1,LOW,LOW,LOW,LOW,
BIS-PEG-18 METHYL ETHER DIMETHYL SILANE,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
SODIUM TRIDECETH SULFATE,1,LOW,LOW,LOW,LOW,
LAURETH-9,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
LITSEA CUBEBA (MAY CHANG) OIL,2,LOW,MODERATE,LOW,LOW,"Multiple, additive exposure sources (low)"
SODIUM HYALURONATE CROSSPOLYMER,1,LOW,LOW,LOW,LOW,
HYDROGENATED PALM GLYCERIDES CITRATE,1,LOW,LOW,LOW,LOW,
ETHYL LINOLEATE,1,LOW,LOW,LOW,LOW,
POLYQUATERNIUM-4,1,LOW,LOW,LOW,LOW,
SYNTHETIC JAPAN WAX,1,LOW,LOW,LOW,LOW,
CALENDULA OFFICINALIS (POT MARIGOLD) FLOWER OIL,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low)"
COLLAGEN,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
HYDROLYZED ALGIN,1,LOW,LOW,LOW,LOW,
HYDROLYZED MILK PROTEIN,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low)"
POTASSIUM PHOSPHATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
PALMITOYL TRIPEPTIDE-38,1,LOW,LOW,LOW,LOW,
SODIUM MYRISTOYL GLUTAMATE,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
EPILOBIUM ANGUSTIFOLIUM (WILLOW HERB) EXTRACT,1,LOW,LOW,LOW,LOW,
PHYTOSTERYL/ ISOSTEARYL/ CETYL/ STEARYL/ BEHE NYL DIMER DILINOLEATE,1,LOW,LOW,LOW,LOW,
POLYGLYCERYL-3 STEARATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
METHYL SALICYLATE,5,LOW,HIGH,LOW,HIGH,Enhanced skin absorption and Use restrictions (high)
POLYGLYCERYL-3 METHYLGLUCOSE DISTEARATE,1,LOW,LOW,LOW,LOW,
POPULUS TREMULOIDES BARK EXTRACT,4,LOW,LOW,LOW,HIGH,"Enhanced skin absorption, Use restrictions (high), Endocrine disruption (moderate), Multiple, additive exposure sources (low), and Irritation (skin, eyes, or lungs) (moderate)"
D-GLUCO-D-MANNAN,1,LOW,LOW,LOW,LOW,
PLANKTON EXTRACT,1,LOW,LOW,LOW,LOW,
CAMELLIA JAPONICA SEED OIL,1,LOW,LOW,LOW,LOW,Endocrine disruption (low)
SERENOA SERRULATA FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,
COCOGLYCERIDES,1,LOW,LOW,LOW,LOW,
COCCINIA INDICA FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,Biochemical or cellular level changes (low)
ISOCETYL STEARATE,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (moderate)"
LINOLEAMIDOPROPYL PG-DIMONIUM CHLORIDE PHOSPHATE,4,LOW,HIGH,LOW,LOW,"Neurotoxicity (low), Endocrine disruption (low), and Non-reproductive organ system toxicity (moderate)"
GLUCOSAMINE HCL,1,LOW,LOW,LOW,LOW,
RHUS VERNICIFLUA PEEL WAX,1,LOW,LOW,LOW,LOW,
OLEANOLIC ACID,1,LOW,LOW,LOW,LOW,
PEG-4 RAPESEEDAMIDE,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
SCHINZIOPHYTON RAUTANENII KERNEL OIL,1,LOW,LOW,LOW,LOW,
PEG-400,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate) and Contamination concerns (high)
CERATONIA SILIQUA (CAROB) GUM,1,LOW,LOW,LOW,LOW,
ISOSTEARYL PALMITATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
PIROCTONE OLAMINE,1,LOW,LOW,LOW,MODERATE,Use restrictions (moderate)
C30-45 ALKYLDIMETHYLSILYL PROPYLSILSEQUIOXANE,1,LOW,LOW,LOW,LOW,
BENZYL CINNAMATE,3,LOW,HIGH,LOW,MODERATE,Use restrictions (moderate)
PANTOLACTONE,1,LOW,LOW,LOW,LOW,"Irritation (skin, eyes, or lungs) (low)"
SORBITAN PALMITATE,1,LOW,LOW,LOW,LOW,
TRIISOSTEARIN,1,LOW,LOW,LOW,LOW,Enhanced skin absorption
POLYACRYLATE-13,1,LOW,LOW,LOW,MODERATE,Use restrictions (moderate)
CHLORHEXIDINE DIHYDROCHLORIDE,4,LOW,MODERATE,LOW,MODERATE,"Use restrictions (moderate), Persistence and bioaccumulation (moderate), and Irritation (skin, eyes, or lungs) (low)"
DISODIUM PYROPHOSPHATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
HYDROGENATED PALM GLYCERIDES,1,LOW,LOW,LOW,LOW,
ISOPENTANE,2,LOW,MODERATE,LOW,LOW,"Ecotoxicology (low), Irritation (skin, eyes, or lungs) (high), and Occupational hazards (high)"
ALUMINUM CHLOROHYDRATE,2,LOW,LOW,LOW,MODERATE,"Use restrictions (moderate), Non-reproductive organ system toxicity (moderate), and Ecotoxicology (low)"
SACCHAROMYCES/ ZINC FERMENT,1,LOW,LOW,LOW,MODERATE,"Use restrictions (moderate), Persistence and bioaccumulation (moderate), and Non-reproductive organ system toxicity (low)"
BHA,5,MODERATE,MODERATE,LOW,LOW,"Endocrine disruption (moderate), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), and Ecotoxicology (low)"
CITRULLUS LANATUS SEED OIL,1,LOW,LOW,LOW,LOW,
DIPENTAERYTHRITYL HEXAHYDROXYSTEARATE,1,LOW,LOW,LOW,LOW,
PEG-4 LAURATE,2,LOW,MODERATE,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (low), and Contamination concerns (high)"
MELON FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,
EUCALYPTOL,2,LOW,MODERATE,LOW,LOW,
ZINC CITRATE,1,LOW,LOW,LOW,HIGH,"Use restrictions (high), Persistence and bioaccumulation (moderate), and Non-reproductive organ system toxicity (low)"
SORBITAN OLEATE DECYLGLUCOSIDE CROSSPOLYMER,1,LOW,LOW,LOW,LOW,
MYRISTYL LACTATE,1,LOW,LOW,LOW,HIGH,Use restrictions (high)
DIPENTAERYTHRITYL HEXA C5-9 ACID ESTERS,1,LOW,LOW,LOW,LOW,
BEHENIC ACID,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
CENTAUREA CYANUS (CORNFLOWER) FLOWER EXTRACT,1,LOW,LOW,LOW,LOW,
ETHYL OLEATE,1,LOW,LOW,LOW,LOW,
SODIUM OLEATE,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low)"
ACTINIDIA CHINENSIS (KIWI) EXTRACT,1,LOW,LOW,LOW,LOW,
POLYGLYCERYL-3 BEESWAX,1,LOW,LOW,LOW,LOW,Use restrictions (low)
DIPALMITOYL HYDROXYPROLINE,1,LOW,LOW,LOW,LOW,
ACETONE,3,LOW,LOW,LOW,LOW,"Neurotoxicity (moderate), Non-reproductive organ system toxicity (moderate), and Irritation (skin, eyes, or lungs) (high)"
CINNAMONUM CASSIA (CINNAMON) BARK EXTRACT,3,LOW,HIGH,LOW,LOW,
THYMOL,1,LOW,LOW,LOW,MODERATE,"Enhanced skin absorption, Use restrictions (moderate), Non-reproductive organ system toxicity (low), Ecotoxicology (low), and Occupational hazards (high)"
TRIPHENYL PHOSPHATE,5,LOW,LOW,MODERATE,LOW,"Neurotoxicity (moderate), Endocrine disruption (low), Multiple, additive exposure sources (moderate), and Ecotoxicology (low)"
SODIUM CETEARYL SULFATE,1,LOW,LOW,LOW,LOW,
JUGLANS REGIA (PERSIAN WALNUT) SHELL POWDER,1,LOW,LOW,LOW,LOW,
KERATIN,1,LOW,LOW,LOW,MODERATE,Use restrictions (moderate)
STEARETH-100,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
GLYCINE SOJA (SOYBEAN) STEROLS,1,LOW,LOW,LOW,LOW,
SACCHAROMYCES/ FERMENT,1,LOW,LOW,LOW,LOW,
ILLITE,1,LOW,LOW,LOW,LOW,
JUNIPERUS COMMUNIS (JUNIPER) FRUIT OIL,1,LOW,LOW,LOW,LOW,"Non-reproductive organ system toxicity (low) and Irritation (skin, eyes, or lungs) (low)"
SACCHAROMYCES/ IRON FERMENT,2,LOW,LOW,LOW,LOW,Persistence and bioaccumulation (high) and Non-reproductive organ system toxicity (low)
TRIDECYL STEARATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
DEAD SEA SALT,1,LOW,LOW,LOW,LOW,
METHYL GLUCETH-10,1,LOW,LOW,LOW,LOW,
SACCHAROMYCES/ MAGNESIUM FERMENT,1,LOW,LOW,LOW,LOW,
UNDARIA PINNATIFIDA EXTRACT,1,LOW,LOW,LOW,LOW,
TRIDECETH-3,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
PEG-10 PHYTOSTEROL,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
DIMETHICONE CROSSPOLYMER-3,1,LOW,LOW,LOW,LOW,
D&C ORANGE 5 (CI 45370) LAKE,4,LOW,LOW,LOW,HIGH,"Use restrictions (high), Endocrine disruption (low), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), and Ecotoxicology (low)"
NYLON-6,1,LOW,LOW,LOW,LOW,Use restrictions (low)
COCAMIDOPROPYLAMINE OXIDE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
TRICONTANYL PVP,1,LOW,LOW,LOW,LOW,
HIBISCUS ROSA-SINENSIS (CHINESE HIBISCUS) EXTRACT,1,LOW,LOW,LOW,LOW,
PROPOLIS EXTRACT,1,LOW,LOW,LOW,LOW,
DISILOXANE,2,LOW,LOW,LOW,LOW,"Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), and Ecotoxicology (low)"
DIAMOND POWDER,1,LOW,LOW,LOW,LOW,
HYDROGENATED DIDECENE,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
NIACIN,1,LOW,LOW,LOW,LOW,
SACCHAROMYCES/ SILICON FERMENT,1,LOW,LOW,LOW,LOW,
PVM/ MA COPOLYMER,1,LOW,LOW,LOW,LOW,
PEG-8 DIMETHICONE,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
HYDRASTIS CANADENSIS (GOLDENSEAL) ROOT EXTRACT,1,LOW,LOW,LOW,LOW,
LANOLIN ALCOHOL,2,LOW,MODERATE,LOW,LOW,Non-reproductive organ system toxicity (moderate)
ISOBUTYL METHACRYLATE/ BIS-HYDROXYPROPYL DIMETHICONE ACRYLATE COPOLYMER,1,LOW,LOW,LOW,LOW,
BEHENYL BEHENATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
SODIUM LAURYL GLUCOSE CARBOXYLATE,1,LOW,LOW,LOW,LOW,"Irritation (skin, eyes, or lungs) (moderate)"
THYMUS VULGARIS (COMMON THYME) OIL,1,LOW,LOW,LOW,LOW,
CERAMIDE,1,LOW,LOW,LOW,LOW,
FERULIC ACID,1,LOW,LOW,LOW,MODERATE,Use restrictions (moderate)
VA CROTONATES/ VINYL NEODECANOATE COPOLYMER,1,LOW,LOW,LOW,LOW,
CAPRYLIC/ CAPRIC GLYCERIDES,1,LOW,LOW,LOW,LOW,
DICETYL PHOSPHATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
HEDYCHIUM CORONARIUM (BUTTERFLY GINGER) ROOT EXTRACT,1,LOW,LOW,LOW,LOW,
PPG-15 STEARYL ETHER,1,LOW,LOW,LOW,LOW,
ROSE EXTRACT,3,LOW,HIGH,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
ALOE BARBADENSIS (ALOE VERA) FLOWER EXTRACT,1,MODERATE,LOW,LOW,LOW,Use restrictions (low)
DIMETHICONE PEG-8 MEADOWFOAMATE,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
HYPNEA MUSCIFORMIS (HYPNEACEAE) EXTRACT,1,LOW,LOW,LOW,LOW,
CITRUS RETICULATA PEEL EXTRACT,1,LOW,LOW,LOW,HIGH,"Use restrictions (high) and Irritation (skin, eyes, or lungs) (low)"
AGAVE TEQUILANA LEAF EXTRACT,1,LOW,LOW,LOW,LOW,
BIXA ORELLANA (ANNATTO) SEED EXTRACT,1,LOW,LOW,LOW,LOW,
POLYQUATERNIUM-39,1,LOW,LOW,LOW,MODERATE,Use restrictions (moderate)
ASPALATHUS LINEARIS (ROOIBOS) EXTRACT,1,LOW,LOW,LOW,LOW,
AMMONIUM POLYACRYLOYLDIMETHYL TAURATE,1,LOW,LOW,LOW,LOW,
GELLIDIELA ACEROSA EXTRACT,1,LOW,LOW,LOW,LOW,
CITRUS AURANTIUM BERGAMIA (BERGAMOT) PEEL OIL,3,LOW,HIGH,LOW,MODERATE,Use restrictions (moderate)
DIBUTYL LAUROYL GLUTAMIDE,1,LOW,LOW,LOW,LOW,
QUILLAJA SAPONARIA (SOAPBARK) BARK EXTRACT,1,LOW,LOW,LOW,LOW,"Non-reproductive organ system toxicity (low) and Irritation (skin, eyes, or lungs) (low)"
SACCHAROMYCES/ FERMENT FILTRATE,1,LOW,LOW,LOW,LOW,
CETETH-10 PHOSPHATE,1,LOW,LOW,LOW,LOW,Use restrictions (low) and Contamination concerns (high)
ALTEROMONAS FERMENT EXTRACT,1,LOW,LOW,LOW,LOW,
D&C Red No. 17 (CI 26100),2,LOW,LOW,LOW,HIGH,"Use restrictions (high), Endocrine disruption (low), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), Ecotoxicology (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
C15-19 ALKANE,1,LOW,LOW,LOW,HIGH,Use restrictions (high)
"10-Undecenoic acid, heptyl ester",1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
CETETH-20,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
HYDROGENATED ETHYLHEXYL OLIVATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
POLYQUATERNIUM-51,1,LOW,LOW,LOW,LOW,
POLYLACTIC ACID,1,LOW,LOW,LOW,LOW,
GLYCINE SOJA PROTEIN,1,LOW,LOW,LOW,LOW,
LYSINE HYDROCHLORIDE,1,LOW,LOW,LOW,LOW,
CYMBOPOGON SCHOENANTHUS OIL,4,LOW,HIGH,LOW,LOW,"Non-reproductive organ system toxicity (moderate) and Irritation (skin, eyes, or lungs) (high)"
METHYL HYDROGENATED ROSINATE,2,LOW,LOW,LOW,LOW,Persistence and bioaccumulation (moderate) and Non-reproductive organ system toxicity (moderate)
CERAMIDE AP,1,LOW,LOW,LOW,LOW,
CETYL LACTATE,1,LOW,LOW,LOW,HIGH,Use restrictions (high)
TOSYLAMIDE/ EPOXY RESIN,1,LOW,LOW,LOW,LOW,
ZINC RICINOLEATE,1,LOW,LOW,LOW,LOW,Persistence and bioaccumulation (moderate) and Non-reproductive organ system toxicity (low)
QUATERNIUM-91,1,LOW,LOW,LOW,LOW,
INOSITOL,1,LOW,LOW,LOW,LOW,
ALUMINUM BENZOATE,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low)
MANDELIC ACID,1,LOW,LOW,LOW,LOW,
NIGELLA SATIVA (BLACK CUMIN) SEED OIL,1,LOW,LOW,LOW,LOW,
PEG/ PPG-17/ 6 COPOLYMER,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
CALENDULA OFFICINALIS (POT MARIGOLD),1,LOW,LOW,LOW,LOW,
HYDROLYZED ELASTIN,1,LOW,LOW,LOW,LOW,
CAPRYLIC/ CAPRIC/ MYRISTIC/ STEARIC TRIGLYCERIDE,1,LOW,LOW,LOW,LOW,
POLYQUATERNIUM-22,1,LOW,LOW,LOW,LOW,Use restrictions (low)
HIPPOPHAE RHAMNOIDES (SEA BUCKTHORN) EXTRACT,1,LOW,LOW,LOW,LOW,
SODIUM CARRAGEENAN,1,LOW,LOW,LOW,LOW,
